Description,Category
Need to prepare and send the data to Nitin Sir of ,Laptops/Desktop
Need to prepare and send the data to Nitin Sir of ,Laptops/Desktop
Need to prepare and send the data to Nitin Sir of ,Laptops/Desktop
Need to prepare and send the data to Nitin Sir of ,Laptops/Desktop
Need to prepare and send the data to Nitin Sir of ,Laptops/Desktop
Need to prepare and send the data to Nitin Sir of ,Laptops/Desktop
Need to prepare and send the data to Nitin Sir of ,Laptops/Desktop
Need to prepare and send the data to Nitin Sir of ,Laptops/Desktop
need to configure VPN,Laptops/Desktop
Need to install VPN,Laptops/Desktop
need to download VPN,Laptops/Desktop
need to configure SAP,Laptops/Desktop
Need to install SAP,Laptops/Desktop
need to download SAP,Laptops/Desktop
need to change password,Laptops/Desktop
Outlook is not working,Laptops/Desktop
Need to extend same password,Laptops/Desktop
Outlook is not working,Laptops/Desktop
reset password ,E-mail
Not  able to access mail in mobile phone.,Laptops/Desktop
install printer,Other
"Dear Sir,Mail receiving problem",Network
"Microsoft Word Not working, Kindly help asap.",Laptops/Desktop
kindly reset the password for  Gadag Depot,Network
vpn not working at Gadag Depot,Network
Teams Installation,Software
Winzip installation,Software
Domain join,Laptops/Desktop
Printerinstallation,Printer
Printers installation required,Printer
Microsoft team is not working. Please resolve the ,Laptops/Desktop
application and mprofile configuration,Laptops/Desktop
slow,Laptops/Desktop
performance,Laptops/Desktop
virus,Antivirus
virus,Antivirus
Anti virus Installation,Antivirus
slow ,Laptops/Desktop
Outlook Configuration,E-mail
app issue,Laptops/Desktop
MS office Installation.,Software
VPN MFA configuration ,Network
vpn nstallation,Network
slow,Laptops/Desktop
SAP configuration,SAP
PC slow,Laptops/Desktop
SAP installation,SAP
Adobe Installation ,Software
OS update,Laptops/Desktop
"MIcrosoft Teams not working,",Software
please reset Sap password  - NTZH_SOUTH,SAP
laptop run very slow,Laptops/Desktop
Sap not working ,SAP
Install Canon Printerwith my laptop,Printer
Password reset ,E-mail
Dear sir Printeris not working properly Printer,Printer
Printernot connected,Printer
my vpn account not login st00677 Show error con,Network
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
RE: Issue closer - Pulse secure,Inquiry / Help
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
please transfer mail from my pc to laptop,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Need to verify the store and share the details wit,Laptops/Desktop
Please correct time on my desktop,Laptops/Desktop
need to make inventory of Power Adaptor S/N : CT:W,Laptops/Desktop
PLEASE MAKE SAP CONNECTIONS,Laptops/Desktop
need to receive Power Adaptor S/N : CT:WDJBP0A1R9S,Laptops/Desktop
Need to secure data confirmation Laptop S/ N : 5CD,Laptops/Desktop
need to make inventory of Laptop S/ N : 5CD9522PLK,Laptops/Desktop
need to receive Laptop S/ N : 5CD9522PLK,Laptops/Desktop
Need to dispatch laptop,Laptops/Desktop
Need to install apps,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install SAP,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Need to configure outlook profile,Laptops/Desktop
Need to configure login profile,Laptops/Desktop
Need to configure OS,Laptops/Desktop
Need to allocate new power adaptor,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
Need to arrange quote of Battery Type – M5Y1K,Laptops/Desktop
Need to dispatch laptop,Laptops/Desktop
Need to install apps,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install SAP,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Need to configure outlook profile,Laptops/Desktop
Need to configure login profile,Laptops/Desktop
Need to configure OS,Laptops/Desktop
Need to allocate new power adaptor,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
need to provide patch cable to vendor,Laptops/Desktop
need to provide standyby charger to Niharika-IT,Laptops/Desktop
need to check laptop of Amit-Admin-Prism,Laptops/Desktop
need to provide new ITP to Manish-Branding,Laptops/Desktop
need to check 3rd floor switch with vendor,Laptops/Desktop
need to check server room with vendor,Laptops/Desktop
need to prepare board room for meeting,Laptops/Desktop
nedd to dispatch CAT-6 cable,Laptops/Desktop
Need to verify network of Niranjan Sir's room,Laptops/Desktop
Need to verify network of confrence room,Laptops/Desktop
Need to verify network of board room,Laptops/Desktop
Need to verify ITP of 3rd floor,Laptops/Desktop
Need to change AP of 3rd floor with help of Vendor,Laptops/Desktop
Need to provide RJ-45 connector to Vendor,Laptops/Desktop
Need to provide CAT-6 cable to Vendor,Laptops/Desktop
Saksham is not working,Laptops/Desktop
Think Cell is not working,Laptops/Desktop
Please help for ITSM ticket creation,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta  JKC-G-CHAN-LAP-00,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 27/04/2022 JKC-G-B,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta  JKC-G-GHAZ-LAP-00,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 28/07/2014 JKC-W-R,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 22/12/2021 JKC-W-I,Laptops/Desktop
System working slow,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 06/02/2020 JKC-G-B,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 07/08/2013 JKC-G-B,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 20/09/2021 JKC-G-A,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 27/12/2021 JKC-G-A,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 06/11/2020 JKC-G-D,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 06/07/2021 JKC-G-K,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 06/07/2021 JKC-G-I,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 16/03/2021 JKC-G-I,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 04/09/2021 JKC-G-J,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta  JKC-W-KOLK-LAP-00,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta  JKC-W-KOLK-LAP-00,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 07/05/2021 JKC-W-G,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta 23/08/2021 JKC-G-D,Laptops/Desktop
Mr. Mohan Reddy Mr. Nitin Dutta  JKC-W-BHUB-LAP-00,Laptops/Desktop
Prisma Access VPN group,Other Hardware
please add email id in printer,Printer
Account locked,Laptops/Desktop
need to reset vpn id for token.VPN ID: cfw.vadod,Laptops/Desktop
Required VPN ID for access SAP from Remote Side,Network
Please issue one cartridge for colony Dispensary.,Laptops/Desktop
Due to Continue network issue we are finding Probl,Network
domain password not working,Other
RAM upgradation Required -INC0022133,Inquiry / Help
Please update os,Laptops/Desktop
VPN Lockedcfw.vadodara,Laptops/Desktop
Google and others sites are not working.,Network
Request for VPN ID  Reset - Avinash. Jktech,Network
Excel is not working,Laptops/Desktop
system slow working,Other
internet not working,Laptops/Desktop
Pl connect Ghaziabad office Printerwith my Laptop,Printer
RE: ANTIVIRUS NOT WORKING,Inquiry / Help
ANTIVIRUS NOT WORKING .PLEASE RESLOVE ISSUE.      ,Laptops/Desktop
ANTIVIRUS NOT WORKING,Inquiry / Help
global access required to this URL                       https://referrals.recruber.com/,Other
Request for New VPN ID creation,Network
please reset my password,Laptops/Desktop
Need to check Meeting Room-Kasturi,Laptops/Desktop
Need to check Meeting Room-Kumkum,Laptops/Desktop
Need to check Meeting Room-Gulab,Laptops/Desktop
Need to check Meeting Room-Kewda,Laptops/Desktop
Need to check DVR-4,Laptops/Desktop
Need to check DVR-3,Laptops/Desktop
Need to check DVR-2,Laptops/Desktop
Need to check DVR-1,Laptops/Desktop
Need to check Network - Wi-Fi,Laptops/Desktop
Need to check Network - LAN,Laptops/Desktop
Please  provide access to Mines Dept Muddapur   Sh,Network
Need to check Access Control,Laptops/Desktop
Need to check Server Room AC,Laptops/Desktop
Need to check Server Room,Laptops/Desktop
Need to check UPS Room AC,Laptops/Desktop
Need to check UPS,Laptops/Desktop
Need to check PRI Line,Laptops/Desktop
Printeroffline,Printer
Need to check Bio Metric Attendance System,Laptops/Desktop
Need to check Second Floor Canon Printer,Laptops/Desktop
Need to check First Floor Canon Printer,Laptops/Desktop
Need to check Ground Floor Canon Printer,Laptops/Desktop
Need to check Basement Canon Printer,Laptops/Desktop
Need to check VC Conference Room,Laptops/Desktop
Need to check VC Board Meeting Room,Laptops/Desktop
please update pulse secure  fatehabad depotvpn id,Laptops/Desktop
internet problem,Other
Kindly replace UPS supply socket as it has insuffi,Laptops/Desktop
Please install new Cartridge  in printer.,Printer
"cartridge ink finished, please replace cartridge.",Printer
Sir Please Update Line Item 20 In RFID & Retrigge,Application
VPN not getting connected ,Inquiry / Help
Domain join ,Laptops/Desktop
Teams Installation,Software
Anti virus Installation,Antivirus
Outlook Configuration,E-mail
MS office Installation.,Software
VPN MFA configuration ,Network
vpn nstallation,Network
SAP configuration,SAP
SAP installation,SAP
Adobe Installation,Software
ms world not working,Other
Need to send 5 laptop bags to Kanpur office,Laptops/Desktop
Need to update inventory - Airtel SIM Number – 899,Laptops/Desktop
Need to update inventory - IMEI : 911561900207183,Laptops/Desktop
Need to update inventory - IMEI(S/N) : 91156190017,Laptops/Desktop
Need to dispatch laptop,Laptops/Desktop
Need to install apps,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install SAP,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Need to configure outlook profile,Laptops/Desktop
Need to configure login profile,Laptops/Desktop
Need to configure OS,Laptops/Desktop
Need to allocate new power adaptor,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
Need to install Printerof Prism-7th,Laptops/Desktop
Need to install Printerof Prism-4th,Laptops/Desktop
Need to install Printerof Padam-Ground,Laptops/Desktop
Need to install Printerof Padam-1st,Laptops/Desktop
system check,Laptops/Desktop
start meeting in 7th floor,Laptops/Desktop
login issue,Laptops/Desktop
check data cards,Laptops/Desktop
Word File not open,Laptops/Desktop
DATA Card hand over,Laptops/Desktop
VPN is not working,Laptops/Desktop
Printerissue,Laptops/Desktop
Ram Upgradation,Laptops/Desktop
login issue,Laptops/Desktop
Ram Upgradation,Laptops/Desktop
System configuration,Laptops/Desktop
VPN is not working,Laptops/Desktop
Teams need to install,Laptops/Desktop
Need to change AD password,Laptops/Desktop
adobe installation,Laptops/Desktop
need to format old hp laptop,Laptops/Desktop
outlook issue,Laptops/Desktop
Need to connect tv in 4.3,Laptops/Desktop
outlook issue,Laptops/Desktop
outlook issue,Laptops/Desktop
wifi issue,Laptops/Desktop
outlook issue,Laptops/Desktop
LAPTOP BATTERY ISSUE- ROBIN SHARMA (13000199),Inquiry / Help
Printerneed to install,Laptops/Desktop
account locked,Laptops/Desktop
password reset,Laptops/Desktop
Data backup provided To mr. Dinesh Sharma,Laptops/Desktop
Printerissue,Laptops/Desktop
password reset,Laptops/Desktop
LAptop provided mr. dinesh Sharma,Laptops/Desktop
Wifi issue,Laptops/Desktop
Anand Sharma (Lucknow) JKC portal issue,Laptops/Desktop
VC testing with Padam tower,Laptops/Desktop
Asset update,Laptops/Desktop
CFG.Jabalpur password issue,Laptops/Desktop
CFW.Gurgaon password issue,Laptops/Desktop
Laptop received from Gurgaon RO office,Laptops/Desktop
Rajeev Sir wdv laptop provided,Laptops/Desktop
HP Scanner JET 200 main board damaged & need to re,Printer
"Dear Sir,I facing issue on regular basis resolve ",Laptops/Desktop
Reset password.,Inquiry / Help
pls change my profile pic,E-mail
please update 2016 office on my system as still I ,Laptops/Desktop
My system run slow and printers connection issue,Laptops/Desktop
please install printer,Printer
please install printer,Printer
please install Printerdriver,Printer
google authenticator qr code requiredm 987953194,Network
1. Laptop is very Slow & hanged a-lot2. Excel not,Laptops/Desktop
"I have recieved the New Laptop, need to create the",Laptops/Desktop
"I have recieved new laptop, Kindly format the old ",Laptops/Desktop
Connection to Printeron newly issued laptop,Printer
please bcakup transfer,Laptops/Desktop
"Dear Sir Unable to Work on Word, File not Open.",Laptops/Desktop
VPN Password Reset for Emo Code 1000524,Inquiry / Help
Dear Sir Kinldy Reset VPN Passward for Emo Code ,Network
kindly change bios battery,Laptops/Desktop
kindly change ram,Laptops/Desktop
please true this id 21035,Laptops/Desktop
install printer,Other
Reset system password,Network
Please provide the access for one driveEmployee I,Laptops/Desktop
Kindly amend Container number in Slip Serial numbe,Laptops/Desktop
no connecting  wifi  network,Network
reset my ad password,Laptops/Desktop
Pls. install Printeras the new laptop has been is,Printer
Printerand scanner installation required,Printer
Xerox Toner replace,Printer
SAP login Issue ,SAP
Need to check Meeting Room-Kasturi,Laptops/Desktop
Need to check Meeting Room-Kumkum,Laptops/Desktop
Need to check Meeting Room-Gulab,Laptops/Desktop
Need to check Meeting Room-Kewda,Laptops/Desktop
Need to check DVR-4,Laptops/Desktop
Need to check DVR-3,Laptops/Desktop
Need to check DVR-2,Laptops/Desktop
Need to check DVR-1,Laptops/Desktop
Need to check Network - Wi-Fi,Laptops/Desktop
Need to check Network - LAN,Laptops/Desktop
Need to check Access Control,Laptops/Desktop
Need to check Server Room AC,Laptops/Desktop
Need to check Server Room,Laptops/Desktop
Need to check UPS Room AC,Laptops/Desktop
Need to check UPS,Laptops/Desktop
Need to check PRI Line,Laptops/Desktop
Need to check Bio Metric Attendance System,Laptops/Desktop
Need to check Second Floor Canon Printer,Laptops/Desktop
Need to check First Floor Canon Printer,Laptops/Desktop
Need to check Ground Floor Canon Printer,Laptops/Desktop
Need to check Basement Canon Printer,Laptops/Desktop
Please add mac address of Below mentioned users ,Network
Need to check VC Conference Room,Laptops/Desktop
Need to check VC Board Meeting Room,Laptops/Desktop
"Please install VPN authenticator in mobile,  Lapto",Network
SAP Password Reset CMOW_SECLOG8,Network
"After auto windows update system not working, kind",Laptops/Desktop
Need to remove uniflow settings from second floor ,Laptops/Desktop
Need to remove uniflow settings from basement floo,Laptops/Desktop
Need to remove uniflow settings from second floor ,Laptops/Desktop
Need to remove uniflow settings from first floor c,Laptops/Desktop
Need to remove uniflow settings from Ground floor ,Laptops/Desktop
Need to dispatch to Prism Tower - Canon Black Tone,Laptops/Desktop
Need to dispatch to Prism Tower - Dell Power Adapt,Laptops/Desktop
Need to dispatch to Prism Tower - Dell Latitude 34,Laptops/Desktop
Need to dispatch to Prism Tower - Dell Power Adapt,Laptops/Desktop
Need to dispatch to Prism Tower - Dell Latitude 34,Laptops/Desktop
Need to change Printerscan email setings to : Pad,Laptops/Desktop
Need to change Printerscan email setings to : Pad,Laptops/Desktop
Need to change Printerscan email setings to : Pad,Laptops/Desktop
Need to transfer all data from OLD laptop to NEW l,Laptops/Desktop
Need to install printer,Laptops/Desktop
Need to install apps,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install SAP,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Need to configure outlook profile,Laptops/Desktop
Need to configure login profile,Laptops/Desktop
Need to configure OS,Laptops/Desktop
Need to allocate new carry bag,Laptops/Desktop
Need to allocate new power adaptor,Laptops/Desktop
Need to allocate new wireless mouse,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
Need to dispatch laptop,Laptops/Desktop
Need to install apps,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install SAP,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Need to configure outlook profile,Laptops/Desktop
Need to configure login profile,Laptops/Desktop
Need to configure OS,Laptops/Desktop
Need to allocate new carry bag,Laptops/Desktop
Need to allocate new power adaptor,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
RE:  Multiple laptops Ghaziabad locations,Inquiry / Help
Need to extend same password,Laptops/Desktop
Login issue,Laptops/Desktop
kindly reset my password,Laptops/Desktop
system slow working,Laptops/Desktop
Biometric registration,Laptops/Desktop
Biometric registration,Laptops/Desktop
Himmi Gupta Asset update,Laptops/Desktop
Printerissue,Laptops/Desktop
9289634735sim send to padam,Laptops/Desktop
9289634737 sim card dispatch,Laptops/Desktop
9289634738 SIM send padam,Laptops/Desktop
9289634739 SIM send padam,Laptops/Desktop
Rahul sir asset update,Laptops/Desktop
password issue,Laptops/Desktop
DMD room need to check,Laptops/Desktop
MD Room need to check,Laptops/Desktop
Meeting room need to check,Laptops/Desktop
Board Room need to check,Laptops/Desktop
Intranet/Internet speed is very poor due to which ,Network
Required ink cartridge for HP Laser Jet 1020 plus.,Printer
printing issue,Printer
My laptop is hangging up  frequently. My laptop ke,Laptops/Desktop
"Dear Sir,my system is working very slow.kindly",Laptops/Desktop
Change display name,E-mail
system login issue  showing error ,Laptops/Desktop
vpn issue.,Network
i am not able to login at system,E-mail
how Mail Configure in mobile,E-mail
Reset my password,E-mail
Reset my password,E-mail
new Access card issue ,Other Hardware
Account lockout  ( Mr. Sujeet Rathun ),Laptops/Desktop
"Sir, Hanging problem with my system due to lower R",Laptops/Desktop
UNABLE TO OPEN PNG FILE ON MY PC,Laptops/Desktop
DNA Web Application for grey link not working,Inquiry / Help
pc not open in auditor cabin,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Reset my password,E-mail
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Pls Reset VPN password and also configure on Mobil,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
lan cable issue,Other
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
While adding Another Equipment Identification in e,Application
"problem are coming in VPN connection,   - id temp.",Network
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to validate newly purchased laptops with OEM ,Laptops/Desktop
Need to check Meeting Room-Kasturi,Laptops/Desktop
Need to check Meeting Room-Kumkum,Laptops/Desktop
Need to check Meeting Room-Gulab,Laptops/Desktop
Need to check Meeting Room-Kewda,Laptops/Desktop
Need to check DVR-4,Laptops/Desktop
Need to check DVR-3,Laptops/Desktop
Need to check DVR-2,Laptops/Desktop
Need to check DVR-1,Laptops/Desktop
Need to check Network - Wi-Fi,Laptops/Desktop
Need to check Network - LAN,Laptops/Desktop
Need to check Access Control,Laptops/Desktop
Need to check Server Room AC,Laptops/Desktop
Need to check Server Room,Laptops/Desktop
Need to check UPS Room AC,Laptops/Desktop
Need to check UPS,Laptops/Desktop
please re-set VPN ID NAME:BHAGWAN DEO SHARMA.VPN I,Network
Need to check PRI Line,Laptops/Desktop
Need to check Bio Metric Attendance System,Laptops/Desktop
Need to check Second Floor Canon Printer,Laptops/Desktop
Need to check First Floor Canon Printer,Laptops/Desktop
Need to check Ground Floor Canon Printer,Laptops/Desktop
Need to check Basement Canon Printer,Laptops/Desktop
Need to check VC Conference Room,Laptops/Desktop
Need to check VC Board Meeting Room,Laptops/Desktop
Halki Punch Machine Problem,Network
Installation  of Punch Machine at Colony,Network
SirPlease Update Line Item 20 In RFID & Retrigger,Application
Need to prepare issuance note and validate the sam,Laptops/Desktop
Need to install appsSweta singh,Laptops/Desktop
need to configure SAPsweta singh,Laptops/Desktop
need to install SAPsweta singh,Laptops/Desktop
need to configure vpnsweta singh,Laptops/Desktop
need to install vpnsweta singh,Laptops/Desktop
Need to configure outlook profilesweta singh,Laptops/Desktop
Need to configure login profileSweta singh,Laptops/Desktop
Need to configure OSSweta singh,Laptops/Desktop
Need to allocate new power adaptorSweta singh,Laptops/Desktop
Need to allocate new laptopSweta.Singh,Laptops/Desktop
Need to run youtube video in Meeting room TV,Laptops/Desktop
Need to configure google authenticator,Laptops/Desktop
password issue,Laptops/Desktop
SIM card handover,Laptops/Desktop
DATA card handover,Laptops/Desktop
need configure PST of left users,Laptops/Desktop
need to install printer,Laptops/Desktop
Password reset,Laptops/Desktop
Need to prepare issunace note and validate the sam,Laptops/Desktop
Need to transfer all data from old laptop to new l,Laptops/Desktop
Need to install apps,Laptops/Desktop
invoice need to send to Kanpur,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install SAP,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Need to configure outlook profile,Laptops/Desktop
Need to configure login profile,Laptops/Desktop
Macmini return to vendor,Laptops/Desktop
Need to configure OS,Laptops/Desktop
Guest Laptop Audio not coming in TV,Laptops/Desktop
Need to allocate new power adaptor,Laptops/Desktop
Guest Laptop need to connect with TV,Laptops/Desktop
need to allocate new carry bag,Laptops/Desktop
Special Executive I'd Not working in Mobile,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
Calendar  not synced in iPhone,Laptops/Desktop
Need to sync laptop with current password,Laptops/Desktop
password need to change,Laptops/Desktop
"Dear Sir,I am unable to login in EHS shuraksha a",Security
Sumnesh Sir internet issue,Laptops/Desktop
Wi-Fi is not working,Laptops/Desktop
Mail sending issue,Laptops/Desktop
Pls provide the access for SAP login.,Security
need to extend same password,Laptops/Desktop
Dongle SSID password issue,Laptops/Desktop
login issue,Laptops/Desktop
Mr. Anthony Mail sync issue,Laptops/Desktop
Need to provide power adaptor against WDV,Laptops/Desktop
Need to provide laptop against WDV,Laptops/Desktop
Need to prepare sale letter of WDV laptop,Laptops/Desktop
Need to receive WDV cheque and hand over the same ,Laptops/Desktop
Need to format WDV laptop,Laptops/Desktop
Need to prepare issunace note and validate the sam,Laptops/Desktop
Need to transfer all data from old laptop to new l,Laptops/Desktop
Need to install apps,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install SAP,Laptops/Desktop
data card provided,Laptops/Desktop
